2023-01-26 11:00;100;23.0;0;GOOD;PLUGGED_AC;FULL
2023-01-26 17:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-26 18:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-26 19:00;100;23.100000381469727;-261;GOOD;PLUGGED_AC;FULL
2023-01-26 20:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-26 21:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-26 22:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-26 23:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 00:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 01:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 02:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 03:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 04:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 05:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 06:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 07:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 08:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 09:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 10:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 11:00;100;23.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-27 12:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-27 13:00;100;23.399999618530273;-91;GOOD;PLUGGED_AC;FULL
2023-01-27 14:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 15:00;100;23.399999618530273;-111;GOOD;PLUGGED_AC;FULL
2023-01-27 16:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 17:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 18:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 19:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 20:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 21:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 22:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-27 23:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 00:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 01:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 02:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 03:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 04:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 05:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 06:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 07:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 08:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 09:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 10:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 11:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 12:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 13:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 14:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 15:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 16:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 17:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 18:00;100;23.399999618530273;0;GOOD;PLUGGED_AC;FULL
2023-01-28 19:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-28 20:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-28 21:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-28 22:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-28 23:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 00:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 01:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 02:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 03:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 04:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 05:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 06:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 07:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 08:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 09:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 10:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 11:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 12:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 13:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 14:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 15:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 16:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 17:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 18:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 19:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 20:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 21:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 22:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-29 23:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 00:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 01:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 02:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 03:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 04:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 05:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 06:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 07:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 08:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 09:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 10:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 11:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 12:00;100;24.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 13:00;100;24.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-30 14:00;100;24.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-30 15:00;100;24.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-30 16:00;100;24.600000381469727;0;GOOD;PLUGGED_AC;FULL
2023-01-30 17:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 18:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 19:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 20:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 21:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 22:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-30 23:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-31 00:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-31 01:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-31 02:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-31 03:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-31 04:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
2023-01-31 05:00;100;23.5;0;GOOD;PLUGGED_AC;FULL
